formation_id,assigned_lane,assignment_time,processing_status,source_image_status,preliminary_outcome,final_outcome,blocker,artifact_result_location
cc_a839f3bb4d14,lane_a_metadata,2026-07-29T05:17:23-07:00,completed,metadata_inspected_hash_verified,candidate_field_only,candidate_field_only,no retained EXIF/XMP camera pose or measured persistent controls,tmp/overlay-wave-001/lane_a/cc_a839f3bb4d14/result.json
cc_963b25557b94,lane_a_metadata,2026-07-29T05:17:23-07:00,completed,metadata_inspected_hash_verified,candidate_field_only,candidate_field_only,no retained EXIF/XMP camera pose or measured persistent controls,tmp/overlay-wave-001/lane_a/cc_963b25557b94/result.json
cc_d74a95a2117a,lane_a_metadata,2026-07-29T05:17:23-07:00,completed,metadata_inspected_hash_verified,candidate_field_only,candidate_field_only,no retained EXIF/XMP camera pose or measured persistent controls,tmp/overlay-wave-001/lane_a/cc_d74a95a2117a/result.json
cc_b99db3829904,lane_a_metadata,2026-07-29T05:17:23-07:00,completed,metadata_inspected_hash_verified,candidate_field_only,candidate_field_only,no retained EXIF/XMP camera pose or measured persistent controls,tmp/overlay-wave-001/lane_a/cc_b99db3829904/result.json
cc_886f1e3e45ca,lane_a_metadata,2026-07-29T05:17:23-07:00,completed,metadata_inspected_hash_verified,candidate_field_only,candidate_field_only,no retained EXIF/XMP camera pose or measured persistent controls,tmp/overlay-wave-001/lane_a/cc_886f1e3e45ca/result.json
cc_c125d1c37d59,lane_b_landmarks,2026-07-29T05:17:23-07:00,completed,source_set_reviewed,candidate_field_only,candidate_field_only,prior candidate-field blocker confirmed; no stable landmark transform,tmp/overlay-wave-001/lane_b/cc_c125d1c37d59/result.json
cc_70a65215ef96,lane_b_landmarks,2026-07-29T05:17:23-07:00,completed,source_set_reviewed,candidate_field_only,candidate_field_only,prior candidate-field blocker confirmed; no stable landmark transform,tmp/overlay-wave-001/lane_b/cc_70a65215ef96/result.json
cc_8b6d16796ee3,lane_b_landmarks,2026-07-29T05:17:23-07:00,completed,source_set_reviewed,candidate_field_only,candidate_field_only,prior candidate-field blocker confirmed; no stable landmark transform,tmp/overlay-wave-001/lane_b/cc_8b6d16796ee3/result.json
cc_5d5c33e3e3cf,lane_b_landmarks,2026-07-29T05:17:23-07:00,completed,source_set_reviewed,candidate_field_only,candidate_field_only,prior candidate-field blocker confirmed; no stable landmark transform,tmp/overlay-wave-001/lane_b/cc_5d5c33e3e3cf/result.json
cc_fec12ccafd56,lane_b_landmarks,2026-07-29T05:17:23-07:00,completed,source_set_reviewed,candidate_field_only,candidate_field_only,one-sided terrain-affected controls; no stable planar transform,tmp/overlay-wave-001/lane_b/cc_fec12ccafd56/result.json
cc_ac20cd7fff97,lane_c_coordinate_size,2026-07-29T05:17:23-07:00,completed,report_and_catalog_reviewed,candidate_field_only,candidate_field_only,reported size without unique field-orientation registration,tmp/overlay-wave-001/lane_c/cc_ac20cd7fff97/result.json
cc_a1d3b0aeea80,lane_c_coordinate_size,2026-07-29T05:17:23-07:00,completed,report_and_catalog_reviewed,candidate_field_only,candidate_field_only,reported size without unique field-orientation registration,tmp/overlay-wave-001/lane_c/cc_a1d3b0aeea80/result.json
cc_5a2600dc568f,lane_c_coordinate_size,2026-07-29T05:17:23-07:00,completed,report_and_catalog_reviewed,candidate_field_only,candidate_field_only,reported size without unique field-orientation registration,tmp/overlay-wave-001/lane_c/cc_5a2600dc568f/result.json
cc_8fb51295f08d,lane_c_coordinate_size,2026-07-29T05:17:23-07:00,completed,report_and_catalog_reviewed,candidate_field_only,candidate_field_only,reported size without unique field-orientation registration,tmp/overlay-wave-001/lane_c/cc_8fb51295f08d/result.json
cc_78ba2c2622ec,lane_c_coordinate_size,2026-07-29T05:17:23-07:00,completed,report_and_catalog_reviewed,candidate_field_only,candidate_field_only,reported size without unique field-orientation registration,tmp/overlay-wave-001/lane_c/cc_78ba2c2622ec/result.json
